Source,Target,Weight
函館昭和タウンプラザＡ棟,ユニクロ函館昭和タウンプラザ店,0.054669555714172355
函館昭和タウンプラザＡ棟,マックスバリュ石川店,1.9606905133969768
函館昭和タウンプラザＡ棟,コープさっぽろかじ店,2.6748912234644613
ユニクロ函館昭和タウンプラザ店,ヤマダ電機テックランド函館店,1.316355273066504
アクロス十字街,スーパーアークス大縄店,2.432943140319262
共愛会病院,マックスバリュ堀川店,0.7128362372088375
共愛会病院,ポールスターショッピングセンター,1.7357478868742262
函館空港国内線ターミナルビル,スーパーアークス戸倉店,1.1515494979927654
ヤマダ電機テックランド函館店,ポールスターショッピングセンター,0.4838710490388343
ポールスターショッピングセンター,ダイエー上磯店,3.019793267413227
コープさっぽろかじ店,スーパーアークス戸倉店,4.853001472120902
マックスバリュ石川店,本別中央会館,19.773581273047558
マックスバリュ堀川店,スーパーアークス大縄店,0.5583201494403787
ウイングベイ小樽,やわらぎ斎場小樽,1.2432048305486698
ウイングベイ小樽,朝里中央病院・朝里第３有料老人ホーム,3.858263416974374
やわらぎ斎場小樽,LUCKY　岩内店,57.55714007092713
朝里中央病院・朝里第３有料老人ホーム,友愛病院,51.1483961867263
DCMホーマック　春光店,医療法人　中島病院,2.698000623995032
DCMホーマック　春光店,介護老人保健施設　みやびの森,6.349849410103589
DCMホーマック　春光店,イオン名寄店,48.60903169883511
介護老人保健施設　みやびの森,第一地区農村公園公衆トイレ,8.044067553395722
デイサービスセンター泉寿園,フォーレスト柏木,0.16411177051877424
デイサービスセンター泉寿園,モルエA棟,2.559070861910482
デイサービスセンター泉寿園,イオン伊達店,17.24742121526458
モルエA棟,モルエB棟,0.0
モルエA棟,モルエC棟,0.0
モルエA棟,モルエA棟,0.0
モルエA棟,モルエA棟,0.0
モルエA棟,コープさっぽろ東むろらん店,2.4864149120435552
モルエA棟,本別中央会館,34.45832750207982
コープさっぽろ東むろらん店,ホーマック若草店,3.6336274382368834
スポーツデポ,イトーヨーカドー,0.196052010796072
スポーツデポ,市立釧路国民健康保険音別診療所.,81.20947988244271
100満ボルト,ドンキホーテ,1.4746780925407668
ホーマック,イトーヨーカドー,2.5321926352104023
ホーマック,ドンキホーテ,3.8140305544412656
ホーマック,イトーヨーカドー,0.26461141730185894
江別サティ,谷藤病院,0.41358574691322747
江別サティ,東野幌本町ビッグハウス,0.7712445525895301
特別養護老人ホーム静苑ホーム,友愛病院,0.0936829115597157
友愛病院,ホーマックスーパーデポ元江別店,1.4937770618442332
東野幌本町ビッグハウス,道と川の駅　花ロードえにわ,17.56427382355728
ホーマックスーパーデポ元江別店,谷藤病院,1.6480107845887007
上江別ショッピングセンターK棟,谷藤病院,1.299376650712243
上江別ショッピングセンターK棟,三笠イオンショッピングセンター,31.267992669911443
三楽荘,三笠イオンショッピングセンター,11.051172078648126
三楽荘,上富良野町保健福祉総合センター　かみん,65.2141227679171
三笠イオンショッピングセンター,留萌市立病院,61.58080579781199
道と川の駅　花ロードえにわ,追分ふれあいセンターい・ぶ・き,25.29415370297141
上富良野町保健福祉総合センター　かみん,ふれあいグリーンパーク公衆トイレ,21.55198781344183
LUCKY　岩内店,イオン伊達店,57.94706054655976
追分ふれあいセンターい・ぶ・き,ふれあいセンターびらとり,43.696563366603456
新冠町役場庁舎,高齢者共同生活施設あいあい荘,0.3167423111351309
新冠町役場庁舎,厚賀郵便局,11.901997876775578
イオン静内店,ホーマック静内店,0.1441396549139481
イオン静内店,高齢者共同生活施設あいあい荘,4.382219790243001
ふれあいセンターびらとり,厚賀郵便局,17.2045874430242
マックスバリュ静内店,ホーマック静内店,0.11337359259453636
コープさっぽろ　ほくと店,ダイエー上磯店,4.736627465475044
コープさっぽろ　ほくと店,ケアハウスはまなすの里,6.697289743312834
